NAME,med_age,total_pop,race_white,race_black_afam,race_am_indian,race_asian,race_hawaiian_pi,race_other,race_two_plus,born_in_state,male_age_married,fem_age_married,hs_diploma,associate_degree,bachelors_degree,masters_degree,prof_degree,doctorate_degree,med_income,internet_any,internet_dialup,internet_broadband
Alabama,39,4876250,3320247,1299048,25565,66270,70662,92220,6933,3391211,28.5,26.7,841716,282316,529178,230528,50270,35796,50536,1435126,8072,1427054
Alaska,34.3,737068,476015,24205,109751,45920,11308,60665,3011,307963,29.2,26.4,108797,41109,88058,37958,10373,5630,77640,217721,1012,216709
Arizona,37.7,7050299,5444453,317462,317414,233213,460262,263037,50674,2790603,29.9,27.8,940168,408312,869452,378467,86371,60236,58945,2170445,8771,2161674
Arkansas,38.1,2999370,2301044,459542,20434,45504,83576,80537,7658,1832181,27.2,25.7,559816,143979,297250,119000,27707,19279,47597,851047,5081,845966
California,36.5,39283497,23453222,2274108,303998,5692423,5481792,1922664,414894,21817639,30.8,29,4813250,2073823,5603047,2294771,645797,437111,75235,11341025,37461,11303564
Colorado,36.7,5610349,4712574,233647,54847,178147,216767,205724,33882,2378061,29.7,27.7,667781,321903,981017,428252,90525,65340,72331,1891255,8135,1883120
Connecticut,41,3575074,2714031,383416,9955,161257,186292,119000,25143,1951675,31.1,29.5,588032,191964,541380,315473,76404,42208,78444,1177430,5086,1172344
Delaware,40.6,957248,658237,212302,3729,37009,18350,27079,3059,427299,30.4,29,187323,52636,124632,64883,12849,11774,68287,309672,1020,308652
District of Columbia,34,692683,285857,320811,2091,27592,34511,21445,3037,256185,30.9,30.6,70065,14792,122380,104526,41447,20906,86420,235534,564,234970
Florida,42,20901636,15702256,3359031,59320,571276,625079,572021,95083,7486782,30.7,28.9,3647514,1468744,2827938,1138820,328745,176198,55660,6444568,24324,6420244
Georgia,36.7,10403847,6098889,3289020,37440,414481,291872,265912,39023,5686457,29.5,27.7,1582994,538144,1324801,590536,149171,93108,58700,3066661,9442,3057219
Hawaii,39.1,1422094,354847,26025,3710,537355,17433,339727,9194,755137,29.3,28.4,247978,106509,215777,74614,22900,14175,81275,390983,1423,389560
Idaho,36.4,1717750,1545409,11918,23136,24287,59676,50569,7968,808006,27,25.4,246382,109602,207179,69784,16921,13653,55785,524892,3855,521037
Illinois,38.1,12770631,9134903,1813590,33460,698524,757231,328446,62705,8566941,30.5,28.9,1941914,700533,1831438,862440,199455,116692,65886,4025820,17626,4008194
Indiana,37.7,6665703,5553391,626587,15782,151979,145747,169711,21981,4539360,29,27,1249644,387910,749078,311229,64915,46934,56303,2071909,12358,2059551
Iowa,38.2,3139508,2826070,116359,11976,75741,39048,66585,5683,2202699,28.4,26.6,565444,242125,403801,135213,34033,24784,60523,1030620,8132,1022488
Kansas,36.7,2910652,2455935,170291,24010,85794,71683,100557,8964,1721730,27.8,26.1,416403,165119,400938,173172,37218,23742,59597,928405,4381,924024
Kentucky,38.9,4449052,3868479,358928,9386,65191,43601,100285,8650,3067240,28.1,26.4,792393,251136,428846,216508,55258,30470,50589,1367437,7033,1360404
Louisiana,36.9,4664362,2892275,1502963,26361,80806,65592,94959,8371,3640441,29.7,27.9,893660,194127,490514,180464,53075,29532,49469,1317971,5049,1312922
Maine,44.7,1335492,1259522,18468,8660,15109,3541,29796,1467,836953,29.7,27.8,259470,97905,194761,82129,19771,13227,57918,464008,4437,459571
Maryland,38.7,6018848,3343003,1799094,16762,378126,272137,206692,23109,2846183,30.5,29.1,890361,277837,891511,535947,126397,108869,84805,1911957,6364,1905593
Massachusetts,39.5,6850553,5348538,522357,14764,452436,286619,223035,35324,4133130,31,29.9,1014308,363665,1151870,656508,145317,135370,81215,2268472,7215,2261257
Michigan,39.7,9965265,7813755,1374314,53316,311721,117801,291259,26495,7606763,30,28.1,1695368,643446,1207829,575818,120906,80617,57144,3224655,15818,3208837
Minnesota,38,5563378,4609049,356515,58011,268181,104032,165396,14838,3760758,29.7,27.8,812779,431425,892893,327716,83373,55185,71306,1865675,12296,1853379
Mississippi,37.5,2984418,1743217,1125623,14269,29605,30728,40296,3103,2135968,28.8,26.9,477712,192866,269736,118193,27801,19423,45081,793784,3747,790037
Missouri,38.6,6104910,5015904,701334,27084,120654,71335,160368,10895,4028566,28.5,26.9,1080715,328720,745843,340251,74401,52067,55461,1947235,10447,1936788
Montana,39.9,1050649,930204,5303,66839,8259,7076,32161,1827,565445,29.1,26.4,175082,66951,155230,52801,14133,9505,54970,348515,3353,345162
Nebraska,36.5,1914571,1666871,92406,17673,45655,40253,50386,5104,1238144,28.2,26.4,283407,132185,262614,96921,22846,16844,61439,636709,3847,632862
Nevada,38,2972382,1949707,271005,38026,242267,304947,146408,24017,792022,29.8,27.8,490303,170718,330222,122034,33877,19558,60365,917041,3258,913783
New Hampshire,42.9,1348124,1252128,21546,2036,36180,7510,28281,1999,556731,30.5,28.7,222457,97663,218013,104407,19451,13866,76768,468993,2196,466797
New Jersey,39.9,8878503,6018074,1194882,19711,840168,558665,243545,55033,4628201,30.7,29.3,1517670,401872,1489653,690446,161719,99133,82545,2783089,9280,2773809
New Mexico,37.8,2092454,1565366,44120,199845,32577,180638,68264,22252,1132900,29.3,27.7,305538,118038,215662,117424,24942,25491,49754,586734,4660,582074
New York,38.8,19572319,12459687,3065471,79512,1647606,1694965,616257,148526,12335603,31.1,29.7,3002160,1190240,2799878,1575714,400322,209893,68486,6106323,23040,6083283
North Carolina,38.7,10264876,7049919,2200761,123952,292992,316763,273276,28131,5790813,29.3,27.6,1491605,675145,1395214,569334,121889,96416,54602,3215635,13520,3202115
North Dakota,35.1,756717,655136,21985,40006,11006,8109,19612,1305,472066,28.2,26,111716,68506,107938,28430,7002,5387,64894,257877,1063,256814
Ohio,39.4,11655397,9476047,1446193,22816,258199,112836,335426,25623,8731024,29.6,27.9,2323276,691111,1401609,628895,135452,89370,56602,3853613,18753,3834860
Oklahoma,36.6,3932870,2844070,286356,299621,85239,106709,304615,14276,2391232,27.6,25.9,680748,203387,436601,161168,37944,25796,52919,1168521,4468,1164053
Oregon,39.3,4129803,3480920,78679,48060,180580,126587,198352,20355,1896979,29.9,27.9,532852,257692,603359,259292,64154,49115,62818,1392333,7247,1385086
Pennsylvania,40.8,12791530,10300602,1430664,24691,436324,275177,319874,40362,9221148,30.3,28.7,2757067,758348,1701365,794850,183587,134483,61744,4146164,27458,4118706
Rhode Island,39.9,1057231,850597,71561,5277,35958,57807,35221,8244,599459,30.9,29.7,174032,61743,150150,72817,16444,12707,67167,345829,1163,344666
South Carolina,39.4,5020806,3372011,1344139,17645,78805,88274,115930,12267,2826744,29.6,28,850160,337253,614156,263830,52935,38358,53199,1508818,5887,1502931
South Dakota,37,870638,733719,17531,76190,12627,7230,22837,1099,558690,27.8,26.4,147794,66074,113870,35812,9183,6215,58275,279329,1551,277778
Tennessee,38.7,6709356,5205132,1124473,18189,117600,92655,147536,12138,4014644,28.7,26.9,1203461,334362,789448,327379,79363,57955,53320,2043089,7760,2035329
Texas,34.6,28260856,20903375,3428211,141425,1357273,1643869,761411,159939,16831914,28.9,27,3729737,1309005,3534714,1380140,297995,207827,61874,7961166,24013,7937153
Utah,30.8,3096848,2676482,36849,33721,71977,156229,94036,15370,1912321,26.4,24.6,362222,176978,410803,150432,33101,26169,71621,858876,3695,855181
Vermont,42.9,624313,587883,8502,2132,10461,2410,12600,428,311637,30.6,28.4,111530,38518,99016,48734,11481,8252,61973,213861,1893,211968
Virginia,38.2,8454463,5717617,1621592,23873,541133,223794,320275,32870,4167762,29.7,27.8,1155096,448739,1272608,711810,147534,108408,74222,2656131,11554,2644577
Washington,37.7,7404107,5581128,281683,94449,631333,333038,433386,43021,3457119,29.5,27.3,925707,509353,1144545,497712,113613,81742,73775,2525901,9716,2516185
West Virginia,42.5,1817305,1691600,66990,3667,14523,7971,32135,1698,1254315,28.7,26.7,432826,94488,159196,77953,16224,12025,46711,559747,3058,556689
Wisconsin,39.5,5790716,4946961,371200,51392,161841,118350,138572,17096,4124124,29.6,27.8,1073887,429430,780824,294273,68736,47496,61747,1960079,14315,1945764
Wyoming,37.7,581024,531304,5582,14164,5025,8832,15521,1874,246126,28,25.7,93507,43761,68269,28366,5748,4472,64049,193139,1133,192006
Puerto Rico,41.7,3318447,2188014,386676,6838,6237,554764,175649,15254,NA,32.4,30.8,597482,243011,433178,119364,28049,26292,20539,731369,11090,720279
